DRG01,Avg_Prob,Actual_Rate,Count,DiagnosisName,Avg_Prob_Pct,Actual_Pct,Risk_Tier
789,0.4065006187437049,0.35714285714285715,28,Abdominal Pain,40.7,35.7,Medium Risk (35–55%)
786,0.4217545443170126,0.4117647058823529,34,Chest Pain,42.2,41.2,Medium Risk (35–55%)
780,0.44880182155729326,0.3870967741935484,62,Syncope,44.9,38.7,Medium Risk (35–55%)
782,0.4508524402226699,0.75,4,Edema,45.1,75.0,Medium Risk (35–55%)
787,0.49626094550914424,0.5,18,Nausea,49.6,50.0,Medium Risk (35–55%)
276,0.5431685378426387,0.6071428571428571,28,Dehydration,54.3,60.7,Medium Risk (35–55%)
578,0.5452580840301663,0.42857142857142855,7,GI Bleeding,54.5,42.9,Medium Risk (35–55%)
486,0.5716535884391624,0.5555555555555556,9,Pneumonia,57.2,55.6,High Risk (>55%)
577,0.5949846417932729,0.75,4,Pancreatitis,59.5,75.0,High Risk (>55%)
428,0.6070426634991789,0.3333333333333333,6,Congestive Heart Failure,60.7,33.3,High Risk (>55%)
599,0.6205209974372942,0.6470588235294118,17,Urinary Tract Infection,62.1,64.7,High Risk (>55%)
558,0.6634535938410633,0.3333333333333333,6,Colitis,66.3,33.3,High Risk (>55%)
